frame,timestamp_sec,player_id,shot_type,ball_x,ball_y
4,0.16,3,forehand,758,718
284,11.36,4,serve_or_smash,465,405
352,14.08,4,serve_or_smash,700,417
381,15.24,4,forehand,742,385
569,22.76,3,forehand,1086,626
822,32.88,3,forehand,947,478
3688,147.52,2,backhand,1210,547
3905,156.2,4,forehand,1013,215
4577,183.08,2,forehand,610,572
6058,242.32,1,serve_or_smash,907,550
6277,251.08,1,backhand,1237,742
6477,259.08,1,serve_or_smash,1093,690
6516,260.64,1,serve_or_smash,877,639
6552,262.08,1,serve_or_smash,781,637
6625,265.0,1,backhand,779,666
6661,266.44,1,serve_or_smash,803,688
6753,270.12,1,serve_or_smash,755,639
6803,272.12,1,serve_or_smash,781,665
6825,273.0,1,serve_or_smash,801,592
6997,279.88,1,backhand,1100,646
7050,282.0,1,serve_or_smash,921,612
7393,295.72,1,serve_or_smash,917,599
7413,296.52,1,serve_or_smash,1067,616
7437,297.48,1,serve_or_smash,1064,635
7580,303.2,1,serve_or_smash,1033,604
7609,304.36,1,serve_or_smash,1016,573
7673,306.92,1,serve_or_smash,1091,665
7800,312.0,1,serve_or_smash,854,619
7924,316.96,1,serve_or_smash,782,689
7986,319.44,1,serve_or_smash,824,713
8006,320.24,1,serve_or_smash,784,617
8070,322.8,2,forehand,797,366
